ISO_ALPHA2,VISA_EXEMPTION,VISA_EXEMPTION_INFO
GA,N,
GY,N,
GT,Y,90일
GU,N,
VA,N,
GD,Y,90일
GR,Y,90일
NR,N,
ZA,N,
NL,Y,90일
NO,Y,90일
NZ,Y,90일
NI,Y,90일
DK,Y,90일
DO,Y,90일
DM,Y,90일
DE,Y,90일
TL,N,
LA,N,
LR,N,
LV,Y,90일
RU,Y,일반 180일 중 90일 1회 연속체류 최대 60일
LB,N,
LS,Y,60일
RO,Y,180일 중 90일
LU,Y,90일
LT,Y,90일
LI,Y,90일
MH,N,
FM,N,
MO,N,
MY,Y,90일
MX,Y,90일
MC,N,
MA,Y,90일
MU,N,
MZ,N,
ME,N,
MD,N,
MT,Y,90일
MN,N,
US,N,
MM,N,
VU,N,
BH,N,
BB,Y,90일
BS,Y,90일
BD,N,
BJ,N,
VE,Y,90일
VN,N,
BE,Y,90일
BY,N,
BZ,N,
BA,N,
BW,N,
BO,N,
MP,N,
MK,N,
BG,Y,90일
BR,Y,90일
BN,N,
WS,N,
SA,N,
CY,N,
SM,N,
ST,N,
SN,N,
RS,N,
SC,N,
LC,Y,90일
VC,Y,90일
KN,Y,90일
SB,N,
SR,Y,90일
SE,Y,90일
CH,Y,90일
ES,Y,90일
SK,Y,90일
SI,N,
SG,Y,90일
AE,Y,90일
AM,N,
AR,N,
IS,Y,90일
HT,Y,90일
IE,Y,90일
AZ,N,
AD,N,
AL,N,
DZ,N,
AO,N,
AG,Y,90일
SZ,N,
EE,Y,90일
EC,N,
ET,N,
SV,Y,90일
GB,Y,90일
OM,N,
AT,Y,90일
HN,N,
JO,N,
UY,Y,90일
UZ,N,
UA,N,
IR,N,
IL,Y,90일
EG,N,
IT,Y,90일
IN,N,
ID,N,
JP,N,
JM,Y,90일
GQ,N,
GE,N,
CN,N,
CZ,Y,90일
CL,Y,90일
CV,N,
KZ,Y,"180일 중 60일, 1회연속체류 최대 30일"
QA,N,
KH,N,
CA,N,
XK,N,
CR,Y,90일
CO,Y,90일
KW,N,
HR,N,
KG,N,
KI,N,
TW,N,
TJ,N,
TZ,N,
TH,Y,90일
TR,Y,180일 중 90일
TO,N,
TM,N,
TV,N,
TN,Y,30일
TT,Y,90일
PA,Y,90일
PY,N,
PK,N,
PW,N,
PE,Y,90일
PT,Y,90일
PL,Y,90일
FR,Y,90일
FJ,N,
FI,Y,90일
PH,N,
HU,Y,180일 중 90일
AU,N,
