KoreanName,VisaRequirement
대만,90일
동티모르,X
라오스,15일
마카오,90일
말레이시아,90일
몽골,X
미얀마,X
방글라데시,X
베트남,15일
브루나이,30일
싱가포르,90일
인도,X
인도네시아,30일
일본,90일
중국,X
캄보디아,X
태국,90일
파키스탄,X
필리핀,30일
홍콩,90일
가이아나,90일
과테말라,90일
그레나다,90일
니카라과,90일
도미니카(공),90일
도미니카(연),90일
멕시코,90일
미국,90일
바베이도스,90일
바하마,90일
베네수엘라,90일
벨리즈,90일
볼리비아,X
브라질,90일
세인트루시아,90일
세인트빈센트그레나딘,90일
세인트키츠네비스,90일
수리남,90일
아르헨티나,90일
아이티,90일
안티구아바부다,90일
에콰도르,90일
엘살바도르,90일
온두라스,90일
우루과이,90일
자메이카,90일
칠레,90일
캐나다,6개월
코스타리카,90일
콜롬비아,90일
트리니다드토바고,90일
파나마,90일
파라과이,30일
페루,90일
그리스,90일
네덜란드,90일
노르웨이,180일 중 90일
덴마크,180일 중 90일
독일,90일
라트비아,90일
룩셈부르크,90일
리투아니아,90일
리히텐슈타인,90일
몰타,90일
벨기에,90일
스웨덴,180일 중 90일
스위스,90일
스페인,90일
슬로바키아,90일
슬로베니아,90일
아이슬란드,180일 중 90일
에스토니아,180일 중 90일
오스트리아,90일
이탈리아,90일
체코,90일
포르투갈,180일 중 90일
폴란드,90일
프랑스,90일
핀란드,180일 중 90일
헝가리,90일
교황청,30일
러시아,"1회 최대 연속 체류 60일, 180일 중 누적 90일"
루마니아,180일 중 90일
마케도니아,1년 중 90일
모나코,90일
몬테네그로,90일
몰도바,180일 중 90일
벨라루스,5일(일방적면제)
보스니아 헤르체고비나,90일
불가리아,90일
사이프러스,90일
산마리노,90일
세르비아,90일
아르메니아,연180일
아일랜드,90일
아제르바이잔,x
안도라,90일
알바니아,90일
영국,6개월
우즈베키스탄,30일
우크라이나,90일
조지아,360일
카자흐스탄,"30일(1회 최대 연속 체류 30일, 180일 중 60일)"
코소보,90일
크로아티아,90일
키르기즈,60일
타지키스탄,x
터키,180일 중 90일
투르크메니스탄,x
괌,45일/VWP90일
뉴질랜드,90일
마샬군도,30일
마이크로네시아,30일
바누아투,30일
북마리아나연방,45일/VWP90일
사모아,60일
솔로몬군도,1년 내 90일
키리바시,30일
통가,30일
투발루,30일
팔라우,30일
피지,4개월
호주(오스트레일리아),90일
가봉,X
남아프리카,30일
라이베리아,90일
레소토,60일
모로코,90일
모리셔스,16일
모잠비크,X
베냉,X
보츠와나,90일
세네갈,90일
세이쉘,30일
스와질란드,60일
아랍에미리트,90일
알제리,X
앙골라,X
오만,30일
요르단,X
이란,X
이스라엘,90일
이집트,X
카보베르데,X
카타르,30일
쿠웨이트,X
튀니지,30일
