COUNTRY_KR_NAME,VOLTAGE,PLUG_TYPE
방글라데시,230,C
브루나이,240,C
캄보디아,120,C
인도,230,C / B3
인도네시아,220,C / B3
라오스,220,C
말레이시아,240,B / BF / C
몽골,220,B / B3 / C
미얀마,230,B / B3 / C
네팔,220,C
파키스탄,220,B3 / C
필리핀,220 / 240,A / C / O
싱가포르,230,B3 / BF
스리랑카,230,B3
태국,220,BF / C
베트남,220,C
괌,120,A
중국,220,A / B3 / BF / C / O
홍콩,220,B / B3 / BF
일본,100,A
한국,100 / 220,A / C / O
대만,110,A
미국,120,A
알래스카,120 / 240,A
캐나다,120,A
쿠바,110,A / BF / C
과테말라,120,A
멕시코,127,A
파나마,120,A / BF
호주,240,O
피지,240,O
뉴질랜드,230,O
뉴 칼레도니아,220,B / C / B3
아프가니스탄,220,B / C / B3
아랍에미리트,220 / 240,B / B3 / BF
이라크,220,B / BF / C
이란,220,BF / C
이스라엘,230,BF / C / O
요르단,220,B3 / BF
쿠웨이트,240,B / C
레바논,110 / 220,C
오만,230,B3 / BF
카타르,240,BF
사우디아라비아,127 / 220,A / B3 / BF / C
시리아,220,B / C
터키,220,A / B / C
예멘,220 / 230,B / BF / C
오스트리아,220,C
벨라루스,127 / 220,A / C
벨기에,127 / 220,C
불가리아,220,C
크로아티아,220,C
키프로스,240,BF
체코,220,C
덴마크,220,C
핀란드,220,C
프랑스,127 / 220,C
독일,220,C / SE
그리스,220,C
헝가리,220,C
아이슬랜드,220,C
아일랜드,220,C
이탈리아,125 / 220,C
카자흐스탄,127 / 220,A / C
룩셈부르크,120 / 220,C
몰타,240,B3 / BF
모나코,127 / 220,C
홀란드,220,C / SE
노르웨이,230,C
폴란드,220,B / B3 / C
루마니아,220,C
러시아,127 / 220,A / C
슬로바키아,220,C
스페인,127 / 220,A / C
스위스,220,C
스웨덴,220,C
우크라이나,127 / 220,A / C
영국,240,BF
우즈베키스탄,127 / 220,A / C
아르헨티나,220,BF / C / O
볼리비아,110 / 220,A / C
브라질,127 / 220,A / C
칠레,220,B3 / C
콜롬비아,110 / 120,A
에콰도르,110 / 120,A
파라과이,220,A / C
페루,220,A / C
우루과이,220,B3 / BF / C
베네수엘라,120,A
알제리,127 / 220,A / BF / C
이집트,220,B / BF
에티오피아,220,C
케냐,240,B3 / C
나이지리아,230,B / BF / C
남아프리카,220 / 230 / 240,B / BF / C
